"doc_type","id","quarter","year","html_url","ticker"
"10-K","36f143cf-18e4-4399-a6a0-3039a8fb791d",4,2023,https://www.sec.gov/Archives/edgar/data/1512673/000162828024006354/sq-20231231.htm,SQ
"10-K","577829a4-d015-453d-9035-294c7ccb3c69",1,2024,https://www.sec.gov/Archives/edgar/data/1022671/000155837024002152/stld-20231231x10k.htm,STLD
"10-K",b0120dc6-2695-4dac-a9d3-082fb4333b51,4,2023,https://www.sec.gov/Archives/edgar/data/1603145/000160314524000005/nep-20231231.htm,NEP
"10-K",e5e1a9fe-3257-41e2-87fe-1ecb1ead6b50,4,2023,https://www.sec.gov/Archives/edgar/data/1136893/000113689324000015/fis-20231231.htm,FIS
"10-K","9cbdc6f6-4e9f-4c35-b652-2efcef8e74a4",1,2024,https://www.sec.gov/Archives/edgar/data/73309/000095017024021195/nue-20231231.htm,NUE
"10-K","7de57efb-48c5-4818-8e78-b24ba48cc4d0",4,2023,https://www.sec.gov/Archives/edgar/data/1751008/000175100824000012/app-20231231.htm,APP
"10-K",d49d9239-13c3-431c-b795-46fd2f9d5937,1,2024,https://www.sec.gov/Archives/edgar/data/1673358/000095017024023147/yumc-20231231.htm,YUMC
"10-K",c1cc84fa-69ef-4d9a-9fb3-44bd75f0557a,4,2021,https://www.sec.gov/Archives/edgar/data/1649094/000095017024021145/pcvx-20231231.htm,PCVX
"10-K","730bdcc4-fd24-4b83-82f3-d3f5fabe33f9",4,2023,https://www.sec.gov/Archives/edgar/data/1100682/000110068224000007/crl-20231230.htm,CRL
"10-K",ea170b94-62e9-4970-86f5-865f8796f67d,4,2023,https://www.sec.gov/Archives/edgar/data/1333986/000133398624000009/eqh-20231231.htm,EQH
"10-K","8ecdc1fd-5415-442a-b148-8c0bb039461b",1,2023,https://www.sec.gov/Archives/edgar/data/1013462/000101346224000007/anss-20231231.htm,ANSS
"10-K",eeaac2fe-7697-429a-8868-58c6e4e5da67,4,2023,https://www.sec.gov/Archives/edgar/data/1798100/000179810024000011/ntst-20231231.htm,NTST
"10-K",bc9d443c-fe2d-487c-97a8-2ea22f31f15a,4,2023,https://www.sec.gov/Archives/edgar/data/1141103/000162828024006454/ccrn-20231231.htm,CCRN
"10-K","3419a9e6-da9c-47d4-9e7e-d9a1a2cb9d79",4,2023,https://www.sec.gov/Archives/edgar/data/1707925/000162828024007424/lin-20231231.htm,LIN
"10-K",a8578843-04c8-4070-beda-721cd9e699d3,4,2023,https://www.sec.gov/Archives/edgar/data/1511337/000151133724000006/rlj-20231231.htm,RLJ
"10-K","3f1a2aa8-b8c4-413c-87df-a7288323da31",4,2023,https://www.sec.gov/Archives/edgar/data/1371285/000137128524000029/trup-20231231.htm,TRUP
"10-K",aac7ec62-892b-48ed-9917-f0db29d5a404,3,2023,https://www.sec.gov/Archives/edgar/data/1468174/000146817424000014/h-20231231.htm,H
"10-K",bc97de56-54fb-4b56-b238-3af50243ce58,4,2023,https://www.sec.gov/Archives/edgar/data/884713/000088471324000022/prmw-20231230.htm,PRMW
"10-K",d52d7355-b1ae-4854-a6da-4f89fdfd1b48,4,2023,https://www.sec.gov/Archives/edgar/data/51644/000005164424000013/ipg-20231231.htm,IPG
"10-K","11f9fd26-b085-45f2-aed8-1e32a0eb0ef1",4,2024,https://www.sec.gov/Archives/edgar/data/1481646/000148164624000020/accd-20240229.htm,ACCD
"10-K","87ed316d-db2d-4876-8574-ec4956b4eb23",4,2023,https://www.sec.gov/Archives/edgar/data/75208/000149315224009567/form10-k.htm,OSG
"10-K","2789073b-0fa7-442f-96cd-62fcbb42711a",1,2023,https://www.sec.gov/Archives/edgar/data/1836981/000162828024011538/bbai-20231231.htm,BBAI
"10-K","06bbcf3f-966a-4921-8518-31c40bb1601f",4,2023,https://www.sec.gov/Archives/edgar/data/1656472/000165647224000021/cron-20231231.htm,CRON
"10-K","414bbc9f-b629-44ea-8323-9d9b970cd3c3",4,2023,https://www.sec.gov/Archives/edgar/data/1014739/000101473924000009/bios-20231231.htm,OPCH
"10-K","04a0bd60-6eb8-4919-b9d0-628670e2c910",4,2023,https://www.sec.gov/Archives/edgar/data/1768267/000095017023066654/crnc-20230930.htm,CRNC
"10-K",ee73121b-2220-4939-8413-048c21b30fe2,4,2023,https://www.sec.gov/Archives/edgar/data/766704/000076670424000008/well-20231231.htm,WELL
"10-K","19cc61b8-de42-48d4-8c84-fc96f66025fd",4,2023,https://www.sec.gov/Archives/edgar/data/1434316/000095017024020158/fate-20231231.htm,FATE
"10-K","85d62cc2-c69a-4cc3-861d-a071e85e7548",4,2023,https://www.sec.gov/Archives/edgar/data/216228/000021622824000020/itt-20231231.htm,ITT
"10-K",d4eb7cfc-7d3d-4881-a9b1-22ae366ef2a1,4,2023,https://www.sec.gov/Archives/edgar/data/18654/000100291024000056/aee-20231231.htm,AEE
"10-K",fe66d139-79f9-4d81-90d6-6184f428a522,4,2023,https://www.sec.gov/Archives/edgar/data/52485/000035254124000014/lnt-20231231.htm,LNT
"10-K",ee638467-f01d-4db0-b723-0b0b3b613680,4,2023,https://www.sec.gov/Archives/edgar/data/1739942/000173994224000020/swi-20231231.htm,SWI
"10-K",b5eb4975-db94-4067-ae00-8db39662b496,4,2024,https://www.sec.gov/Archives/edgar/data/1372612/000095017024029241/box-20240131.htm,BOX
"10-K","334a6d20-40e7-4cde-964d-e7670f589063",4,2023,https://www.sec.gov/Archives/edgar/data/851205/000085120524000027/cgnx-20231231.htm,CGNX
"10-K","16530e36-57aa-4604-ad75-51518022085b",4,2024,https://www.sec.gov/Archives/edgar/data/1585521/000158552124000030/zm-20240131.htm,ZM
"10-K","073e089e-1c78-4866-b6a5-952f32498676",4,2023,https://www.sec.gov/Archives/edgar/data/1504776/000150477624000006/wrby-20231231.htm,WRBY
"10-K",b702f7ed-8b89-4f87-a2f0-feb0876fe130,3,2023,https://www.sec.gov/Archives/edgar/data/1580560/000095017024021713/flyw-20231231.htm,FLYW
"10-K",b8a95e55-ce8b-48a1-9881-a5cb61bfe194,4,2023,https://www.sec.gov/Archives/edgar/data/18349/000001834924000053/syn-20231231.htm,SNV
"10-K",c9a9a7b6-1766-4a5d-85d6-54e6872a35af,4,2023,https://www.sec.gov/Archives/edgar/data/835011/000162828024006149/mgpi-20231231.htm,MGPI
"10-K","6323a65a-a642-4996-93d8-bbdef24fbf76",4,2023,https://www.sec.gov/Archives/edgar/data/1811074/000181107424000015/tpl-20231231.htm,TPL
"10-K","59c00d37-3dd9-462a-9288-55135043721c",4,2023,https://www.sec.gov/Archives/edgar/data/1497770/000155837024001538/wd-20231231x10k.htm,WD
"10-K",d065933d-f73b-4b6f-8566-75dab8ca2df6,4,2023,https://www.sec.gov/Archives/edgar/data/1756262/000095017024021155/tmdx-20231231.htm,TMDX
"10-K",c3908d08-dbe5-4396-a9d5-1c43a0ce7c97,4,2024,https://www.sec.gov/Archives/edgar/data/1289308/000128930824000018/ens-20240331.htm,ENS
"10-K","5ede5329-a8a2-4e2a-9931-4042482c949b",4,2023,https://www.sec.gov/Archives/edgar/data/1587732/000158773224000013/ogs-20231231.htm,OGS
"10-K","8a52562e-313e-4e0b-bef5-0c03ca22a3e2",4,2023,https://www.sec.gov/Archives/edgar/data/1111485/000095017024022073/rxst-20231231.htm,RXST
"10-K","6b8e885d-c446-465c-93a2-3233ee562e62",1,2024,https://www.sec.gov/Archives/edgar/data/1070423/000107042324000008/paa-20231231.htm,PAA
"10-K","3472fa78-23e5-4f9f-9785-4ad462c0c780",4,2023,https://www.sec.gov/Archives/edgar/data/1364479/000136447924000006/hri-20231231.htm,HRI
"10-K","94374dca-84a0-4f9c-b406-72374e56b056",4,2023,https://www.sec.gov/Archives/edgar/data/883241/000088324123000019/snps-20231031.htm,SNPS
"10-K","358d94a3-840a-4f0d-9b68-10e6b33b0456",4,2023,https://www.sec.gov/Archives/edgar/data/1306830/000130683024000029/ce-20231231.htm,CE
"10-K","3bf02731-cd0b-470b-be68-0dd0041c4670",4,2024,https://www.sec.gov/Archives/edgar/data/1489096/000148909624000099/thr-20240331.htm,THR
"10-K",e174e94d-30c6-4eab-8d75-880832df3090,1,2024,https://www.sec.gov/Archives/edgar/data/354647/000095017024022216/cvbf-20231231.htm,CVBF
"10-K",ffb2d4c5-1e35-4404-8344-b1ee05280970,4,2023,https://www.sec.gov/Archives/edgar/data/1855747/000185574724000015/blnd-20231231.htm,BLND
"10-K",c92b46f1-1bfd-4dd6-a940-25b8b4c9db6b,4,2023,https://www.sec.gov/Archives/edgar/data/876167/000087616724000031/prgs-20231130.htm,PRGS
"10-K",cebd733a-c375-493c-80e5-3e96b1187d0f,4,2023,https://www.sec.gov/Archives/edgar/data/1537054/000095017024022040/gogo-20231231.htm,GOGO
"10-K","8fbfd320-0278-4092-ae48-841489f5f711",2,2020,https://www.sec.gov/Archives/edgar/data/744218/000141057824000076/cldx-20231231x10k.htm,CLDX
"10-K","08102eae-c004-4d87-8048-75b345d7c24a",4,2023,https://www.sec.gov/Archives/edgar/data/744187/000093041324001186/c108550_10k-ixbrl.htm,REX
"10-K","02ce899b-7a7d-44c7-9efe-ee384b940430",4,2023,https://www.sec.gov/Archives/edgar/data/899045/000162828024006537/lamr-20231231.htm,LAMR
